"漢字識別號","字","同音字序","切語","拼音","字義","小韻字","目次編碼","小韻字序號","小韻字集","字數","發音部位","清濁","發送收","切語上字集","廣韻聲母","雅俗通聲母","上字標音","聲母國際音標","白話字聲母","閩拼聲母","台羅聲母","方音聲母","韻系列號","韻系行號","韻目索引","目次","攝","韻系","韻目","調","呼","等","韻母","切語下字集","等呼","廣韻韻母","雅俗通韻母","下字標音","韻母國際音標","白話字韻母","閩拼韻母","台羅韻母","方音韻母"
1,"東",1,"德紅","tong1","春方也≆說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯郷東門襄仲後因氏焉齊有大夫東郭偃又有東宫得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏丗本宋大夫東郷爲[-/人]賈執英賢傳云今高密有東郷姓宋有貟外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
2,"菄",2,"德紅","tong1","東風菜義見上注俗加艹","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
3,"鶇",3,"德紅","tong1","鶇鵍鳥名美形出廣雅亦作𪂝","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
4,"䍶",4,"德紅","tong1","獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
5,"𠍀",5,"德紅","tong1","儱倲儜劣皃出字諟","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
6,"倲",6,"德紅","tong1","上同","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
7,"𩜍",7,"德紅","tong1","地理志云東郡館名","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
8,"𢘐",8,"德紅","tong1","古文見道經","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
9,"涷",9,"德紅","tong1","瀧涷沾漬≆說文曰水出發鳩山入於河又都貢切","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
10,"蝀",10,"德紅","tong1","螮蝀虹也又音董","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
11,"凍",11,"德紅","tong1","凍凌又都貢切","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
12,"鯟",12,"德紅","tong1","魚名似鯉","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
13,"𢔅",13,"德紅","tong1","行皃","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
14,"崠",14,"德紅","tong1","崠如山名","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
15,"埬",15,"德紅","tong1","上埬地名","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
16,"𧓕",16,"德紅","tong1","蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
17,"䰤",17,"德紅","tong1","醜皃","東","1.01東",1,"東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤",22,"舌頭音","全清","發聲","多德得丁都當冬","端","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
18,"同",1,"徒紅","tong5","齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
19,"仝",2,"徒紅","tong5","古文出道書","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
20,"童",3,"徒紅","tong5","童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
21,"僮",4,"徒紅","tong5","僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
22,"銅",5,"徒紅","tong5","金之一品","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
23,"桐",6,"徒紅","tong5","木名月令曰淸明之日桐始華又桐廬縣在睦州亦姓有桐君藥録兩卷","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
24,"峒",7,"徒紅","tong5","崆峒山名","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
