識別號,國際音標韻母,台語音標韻母,台羅韻母,白話字韻母,閩拼韻母,方音韻母,十五音韻母,十五音舒促聲,十五音序
1,un,un,un,un,un,ㄨㄣ,君,舒聲,1
2,ut̚,ut,ut,ut,ut,ㄨㆵ,君,促聲,1
3,ian,ian,ian,ian,ian,ㄧㄢ,堅,舒聲,2
4,iat̚,iat,iat,iat,iat,ㄧㄚㆵ,堅,促聲,2
5,im,im,im,im,im,ㄧㆬ,金,舒聲,3
6,ip̚,ip,ip,ip,ip,ㄧㆴ,金,促聲,3
7,ui,ui,ui,ui,ui,ㄨㄧ,規,舒聲,4
8,ui?,uih,uih,uih,uih,ㄨㄧㆷ,規,促聲,4
9,ɛ,ee,ee,ee,e,ㄝ,嘉,舒聲,5
10,ɛ?,eeh,eh,eeh,eh,ㄝㆷ,嘉,促聲,5
11,an,an,an,an,an,ㄢ,干,舒聲,6
12,at̚,at,ap,at,at,ㄚㆵ,干,促聲,6
13,ɔŋ,ong,ong,ong,ong,ㆲ,公,舒聲,7
14,ɔk̚,ok,ok,ok,ok,ㆦㆻ,公,促聲,7
15,uai,uai,uai,oai,uai,ㄨㄞ,乖,舒聲,8
16,uai?,uaih,uaih,oaih,uaih,ㄨㄞㆷ,乖,促聲,8
17,ɪŋ,ing,ing,eng,ing,ㄧㄥ,經,舒聲,9
18,ik̚,ik,ik,ek,ik,ㄧㆻ,經,促聲,9
19,uan,uan,uan,oan,uan,ㄨㄢ,觀,舒聲,10
20,uat̚,uat,uat,oat,uat,ㄨㄚㆵ,觀,促聲,10
21,ou,oo,oo,o͘,oo,ㆦ,沽,舒聲,11
22,ou?,ooh,ooh,o͘h,ooh,ㆦㆷ,沽,促聲,11
23,iau,iau,iau,iau,iao,ㄧㄠ,嬌,舒聲,12
24,iau?,iauh,iauh,iauh,iaoh,ㄧㄠㆷ,嬌,促聲,12
25,ei,ei,ei,ei,e,ㄟ,稽,舒聲,13
26,ei?,eih,eih,eih,eh,ㄟㆷ,稽,促聲,13
27,iɔŋ,iong,iong,iong,iong,ㄧㆲ,恭,舒聲,14
28,iɔk̚,iok,iok,iok,iok,ㄧㆦㆻ,恭,促聲,14
29,o,o,o,o,o,ㄜ,高,舒聲,15
30,o?,oh,oh,oh,oh,ㄜㆷ,高,促聲,15
31,ai,ai,ai,ai,ai,ㄞ,皆,舒聲,16
32,ai?,aih,aih,aih,aih,ㄞㆷ,皆,促聲,16
33,in,in,in,in,in,ㄧㄣ,巾,舒聲,17
34,it̚,it,it,it,it,ㄧㆵ,巾,促聲,17
35,iaŋ,iang,iang,iang,iang,ㄧㄤ,姜,舒聲,18
36,iak̚,iak,iak,iak,iak,ㄧㄚㆻ,姜,促聲,18
37,am,am,am,am,am,ㆰ,甘,舒聲,19
38,ap̚,ap,ap,ap,ap,ㄚㆴ,甘,促聲,19
39,ua,ua,ua,oa,ua,ㄨㄚ,瓜,舒聲,20
40,ua?,uah,uah,oah,uah,ㄨㄚㆷ,瓜,促聲,20
41,aŋ,ang,ang,ang,ang,ㄤ,江,舒聲,21
42,ak̚,ak,ak,ak,ak,ㄚㆻ,江,促聲,21
43,iam,iam,iam,iam,iam,ㄧㆰ,兼,舒聲,22
44,iap̚,iap,iap,iap,iap,ㄧㄚㆴ,兼,促聲,22
45,au,au,au,au,ao,ㄠ,交,舒聲,23
46,au?,auh,auh,auh,aoh,ㄠㆷ,交,促聲,23
47,ia,ia,ia,ia,ia,ㄧㄚ,迦,舒聲,24
48,ia?,iah,iah,iah,iah,ㄧㄚㆷ,迦,促聲,24
49,ue,ue,ue,oe,ue,ㄨㆤ,檜,舒聲,25
50,ue?,ueh,ueh,oeh,ueh,ㄨㆤㆷ,檜,促聲,25
51,ã,ann,ann,aⁿ,na,ㆩ,監,舒聲,26
52,ã?,annh,annh,ahⁿ,nah,ㆩㆷ,監,促聲,26
53,u,u,u,u,u,ㄨ,艍,舒聲,27
54,u?,uh,uh,uh,uh,ㄨㆷ,艍,促聲,27
55,a,a,a,a,a,ㄚ,膠,舒聲,28
56,a?,ah,ah,ah,ah,ㄚㆷ,膠,促聲,28
57,i,i,i,i,i,ㄧ,居,舒聲,29
58,i?,ih,ih,ih,ih,ㄧㆷ,居,促聲,29
59,iu,iu,iu,iu,iu,ㄧㄨ,丩,舒聲,30
60,iu?,iuh,iuh,iuh,iuh,ㄧㄨㆷ,丩,促聲,30
61,ɛ̃,enn,enn,eⁿ,ne,ㆥ,更,舒聲,31
62,ɛ̃?,ennh,ennh,ehⁿ,neh,ㆥㆷ,更,促聲,31
63,uĩ,uinn,uinn,uiⁿ,nui,ㄨㆪ,褌,舒聲,32
64,uĩ?,uinnh,uinnh,uihⁿ,nuih,ㄨㆪㆷ,褌,促聲,32
65,io,io,io,io,io,ㄧㄜ,茄,舒聲,33
66,io?,ioh,ioh,ioh,ioh,ㄧㄜㆷ,茄,促聲,33
67,ĩ,inn,inn,iⁿ,ni,ㆪ,梔,舒聲,34
68,ĩ?,innh,innh,iⁿh,nih,ㆪ,梔,促聲,34
69,iɔ̃,ionn,ionn,ioⁿ,nioo,ㄧㆧ,薑,舒聲,35
70,iɔ̃?,ionnh,ionnh,iohⁿ,niooh,ㄧㆧㆷ,薑,促聲,35
71,iã,iann,iann,iaⁿ,nia,ㄧㆩ,驚,舒聲,36
72,iã?,iannh,iannh,iahⁿ,niah,ㄧㆩㆷ,驚,促聲,36
73,uã,uann,uann,oaⁿ,nua,ㄨㆩ,官,舒聲,37
74,uã?,uannh,uannh,oahⁿ,nuah,ㄨㆩㆷ,官,促聲,37
75,ŋ,ng,ng,ng,ng,ㆭ,鋼,舒聲,38
76,ŋ?,ngh,ngh,ngh,ngh,ㆭㆷ,鋼,促聲,38
77,e,e,e,e,e,ㆤ,伽,舒聲,39
78,e?,eh,eh,eh,eh,ㆤㆷ,伽,促聲,39
79,aĩ,ainn,ainn,aiⁿ,nai,ㆮ,閒,舒聲,40
80,aĩ?,ainnh,ainnh,aihⁿ,naih,ㆮㆷ,閒,促聲,40
81,õu,oonn,onn,oⁿ,noo,ㆧ,姑,舒聲,41
82,õu?,oonnh,onnh,ohⁿ,nooh,ㆧㆷ,姑,促聲,41
83,m,m,m,m,m,ㆬ,姆,舒聲,42
84,mh,mh,mh,mh,mh,ㆬㆷ,姆,促聲,42
85,uaŋ,uang,uang,oang,uang,ㄨㄤ,光,舒聲,43
86,uak̚,uak,uak,oak,uak,ㄨㄚㆻ,光,促聲,43
87,uãi,uainn,uainn,oaiⁿ,nuai,ㄨㆮ,閂,舒聲,44
88,uãi?,uainnh,uainnh,oaiⁿh,nuaih,ㄨㆮㆷ,閂,促聲,44
89,uẽi,uenn,uenn,oeⁿ,nue,ㄨㆥ,糜,舒聲,45
90,uẽi?,uennh,uennh,oehⁿ,nueh,ㄨㆥㆷ,糜,促聲,45
91,iãu,iaunn,iaunn,iauⁿ,niao,ㄧㆯ,嘄,舒聲,46
92,iãu?,iaunnh,iaunnh,iauⁿh,niaoh,ㄧㆯㆷ,嘄,促聲,46
93,ɔm,om,om,om,om,ㆱ,箴,舒聲,47
94,ɔp̚,op,op,op,op,ㆦㆴ,箴,促聲,47
95,ãu,aunn,aunn,auⁿ,nao,ㆯ,爻,舒聲,48
96,ãu?,aunnh,aunnh,auhⁿ,naoh,ㆯㆷ,爻,促聲,48
97,ɔ̃,onn,onn,oⁿ,no,ㆧ,扛,舒聲,49
98,ɔ̃h,onnh,onnh,ohⁿ,noh,ㆧㆷ,扛,促聲,49
99,iũ,iunn,iunn,iuⁿ,niu,ㄧㆫ,牛,舒聲,50
100,iũh,iunnh,iunnh,iuhⁿ,niuh,ㄧㆫㆷ,牛,促聲,50
,,,,,,,,,
,,,,,,,,,
