識別號,韻目,韻目識別號,韻母,韻目列號,韻攝,韻類,四聲韻目,等呼,等,呼,舒聲標音,促聲標音
1,東,1,01獨洪,1,通,東一,東董送屋,獨洪,1,開,ong,ok
2,東,1,01獨細,1,通,東二,東董送屋,獨細,3,開,iong,iok
3,冬,2,02獨洪,2,通,冬,冬∅宋沃,獨洪,1,開,ong,ok
4,鍾,3,03獨細,3,通,鍾,鍾腫用燭,獨細,3,開,iong,iok
5,江,4,04獨洪,4,江,江,江講絳覺,獨洪,2,開,ang,ak
6,支,5,05開細,5,止,支一,支紙寘∅,開細,3,開,i,
7,支,5,05合細,5,止,支二,支紙寘∅,合細,3,合,ui,
8,脂,6,06開細,6,止,脂一,脂旨至∅,開細,3,開,i,
9,脂,6,06合細,6,止,脂二,脂旨至∅,合細,3,合,ui,
10,之,7,07獨細,7,止,之,之止志∅,獨細,3,開,i,
11,微,8,08開細,8,止,微一,微尾未∅,開細,3,開,i,
12,微,8,08合細,8,止,微二,微尾未∅,合細,3,合,ui,
13,魚,9,09獨細,9,遇,魚,魚語御∅,獨細,3,開,u,
14,虞,10,10獨細,10,遇,虞,虞麌遇∅,獨細,3,開,u,
15,模,11,11獨洪,11,遇,模,模姥暮∅,獨洪,1,開,oo,
16,齊,12,12開細,12,蟹,齊一,齊薺霽∅,開細,4,開,e,
17,齊,12,12合細,12,蟹,齊二,齊薺霽∅,合細,4,合,ui,
18,祭,125,13開細,13,蟹,祭一,∅∅祭∅,開細,3,開,e,
19,祭,125,13合細,13,蟹,祭二,∅∅祭∅,合細,3,合,ue,
20,泰,126,14開洪,14,蟹,泰一,∅∅泰∅,開洪,1,開,ai,
21,泰,126,14合洪,14,蟹,泰二,∅∅泰∅,合洪,1,合,ui,
22,佳,13,15開洪,15,蟹,佳一,佳蟹卦∅,開洪,2,開,ai,
23,佳,13,15合洪,15,蟹,佳二,佳蟹卦∅,合洪,2,合,ua,
24,皆,14,16開洪,16,蟹,皆一,皆駭怪∅,開洪,2,開,ai,
25,皆,14,16合洪,16,蟹,皆二,皆駭怪∅,合洪,2,合,uai,
26,夬,129,17開洪,17,蟹,夬一,∅∅夬∅,開洪,2,開,ai,
27,夬,129,17合洪,17,蟹,夬二,∅∅夬∅,合洪,2,合,uai,
28,灰,15,18合洪,18,蟹,灰,灰賄隊∅,合洪,1,合,ui,
29,咍,16,19開洪,19,蟹,咍,咍海代∅,開洪,1,開,ai,
30,廢,132,20合細,20,蟹,廢,∅∅廢∅,合細,3,合,ui,
31,真,17,21開細,21,臻,真,真軫震質,開細,3,開,in,it
32,諄,18,22合細,22,臻,諄,諄準稕術,合細,3,開,un,ut
33,臻,19,23開洪,23,臻,臻,臻∅齔櫛,開洪,2,開,in,it
34,文,20,24合細,24,臻,文,文吻問物,合細,3,開,un,ut
35,殷,21,25開細,25,臻,殷,殷隱焮迄,開細,3,開,in,it
36,元,22,26開細,26,臻,元一,元阮願月,開細,3,開,ian,iat
37,元,22,26合細,26,臻,元二,元阮願月,合細,3,合,uan,uat
38,魂,23,27合洪,27,臻,魂,魂混慁沒,合洪,1,開,ut,ut
39,痕,24,28開洪,28,臻,痕,痕很恨麧,開洪,1,開,un,ut
40,寒,25,29開洪,29,山,寒,寒旱翰曷,開洪,1,開,an,at
41,桓,26,30合洪,30,山,桓,桓緩換末,合洪,1,合,uan,uat
42,刪,27,31開洪,31,山,刪一,刪潸諫黠,開洪,2,開,an,at
43,刪,27,31合洪,31,山,刪二,刪潸諫黠,合洪,2,合,uan,uat
44,山,28,32開洪,32,山,山一,山產襇鎋,開洪,2,開,an,at
45,山,28,32合洪,32,山,山二,山產襇鎋,合洪,2,合,uan,uat
46,先,29,33開細,33,山,先一,先銑霰屑,開細,4,開,ian,iat
47,先,29,33合細,33,山,先二,先銑霰屑,合細,4,合,ian,iat
48,仙,30,34開細,34,山,仙一,仙獮線薛,開細,3,開,ian,iat
49,仙,30,34合細,34,山,仙二,仙獮線薛,合細,3,合,uan,uat
50,蕭,31,35開細,35,效,蕭,蕭篠嘯∅,開細,4,開,iau,
51,宵,32,36開細,36,效,宵,宵小笑∅,開細,3,開,iau,
52,肴,33,37開洪,37,效,肴,肴巧效∅,開洪,2,開,au,
53,豪,34,38開洪,38,效,豪,豪晧号∅,開洪,1,開,au,
54,歌,35,39開洪,39,果,歌,歌哿箇∅,開洪,1,開,o,
55,戈,36,40合洪,40,果,戈一,戈果過∅,合洪,1,開,o,
56,戈,36,40開細,40,果,戈二,戈果過∅,開細,3,開,ia,
57,戈,36,40合細,40,果,戈三,戈果過∅,合細,3,合,ia,
58,麻,37,41開洪,41,假,麻一,麻馬禡∅,開洪,2,開,a,
59,麻,37,41合洪,41,假,麻二,麻馬禡∅,合洪,2,合,ua,
60,麻,37,41開細,41,假,麻三,麻馬禡∅,開細,3,開,ia,
61,陽,38,42開細,42,宕,陽一,陽養漾藥,開細,3,開,iong,iok
62,陽,38,42合細,42,宕,陽二,陽養漾藥,合細,3,合,ong,ok
63,唐,39,43開洪,43,宕,唐一,唐蕩宕鐸,開洪,1,開,ong,ok
64,唐,39,43合洪,43,宕,唐二,唐蕩宕鐸,合洪,1,合,ong,ok
65,庚,40,44開洪,44,梗,庚一,庚梗敬陌,開洪,2,開,ing,ik
66,庚,40,44合洪,44,梗,庚二,庚梗敬陌,合洪,2,合,ong,ok
67,庚,40,44開細,44,梗,庚三,庚梗敬陌,開細,3,開,ing,ik
68,庚,40,44合細,44,梗,庚四,庚梗敬陌,合細,3,合,ing,ik
69,耕,41,45開洪,45,梗,耕一,耕耿諍麥,開洪,2,開,ing,ik
70,耕,41,45合洪,45,梗,耕二,耕耿諍麥,合洪,2,合,ong,ok
71,清,42,46開細,46,梗,清一,清靜勁昔,開細,3,開,ing,ik
72,清,42,46合細,46,梗,清二,清靜勁昔,合細,3,合,ing,ik
73,青,43,47開細,47,梗,青一,青迥徑錫,開細,4,開,ing,ik
74,青,43,47合細,47,梗,青二,青迥徑錫,合細,4,合,ing,ik
75,蒸,44,48開細,48,曾,蒸,蒸拯證職,開細,3,開,ing,ik
76,登,45,49開洪,49,曾,登一,登等嶝德,開洪,1,開,ing,ik
77,登,45,49合洪,49,曾,登二,登等嶝德,合洪,1,合,ong,ok
78,尤,46,50開細,50,流,尤,尤有宥∅,開細,3,開,iu,
79,侯,47,51開洪,51,流,侯,侯厚猴∅,開洪,1,開,io,
80,幽,48,52開細,52,流,幽,幽黝幼∅,開細,3,開,iu,
81,侵,49,53開細,53,深,侵,侵寢沁緝,開細,3,開,im,ip
82,覃,50,54開洪,54,咸,覃,覃感勘合,開洪,1,開,am,ap
83,談,51,55開洪,55,咸,談,談敢闞盍,開洪,1,開,am,ap
84,鹽,52,56開細,56,咸,鹽,鹽琰豔葉,開細,3,開,iam,iap
85,添,53,57開細,57,咸,添,添忝㮇怗,開細,4,開,iam,iap
86,咸,54,58開洪,58,咸,咸,咸豏陷洽,開洪,2,開,am,ap
87,銜,55,59開洪,59,咸,銜,銜檻鑑狎,開洪,2,開,am,ap
88,嚴,56,60開細,60,咸,嚴,嚴儼釅業,開細,3,開,iam,iap
89,凡,57,61合細,61,咸,凡,凡范梵乏,合細,3,合,uan,uat
