識別號,廣韻韻母識別號,韻系列號,韻系行號,韻目索引,目次識別號,目次,攝,韻系,韻目,調,呼,等,韻母,切語下字集,等呼,韻母拼音碼,備註
192,16,34,4,34-4,217,5.17薛,山,仙,薛,入,開,3,仙開3促聲,列熱滅竭薛辥别,開細,iat,
193,73,34,1,34-1,34,2.02仙,山,仙,仙,平,合,3,仙合3舒聲,員緣泉權圓專孿攣宣川全貟,合細,uan,
194,73,34,2,34-2,95,3.28獮,山,仙,獮,上,合,3,仙合3舒聲,轉篆兗兖緬,合細,uan,
195,73,34,3,34-3,156,4.33線,山,仙,線,去,合,3,仙合3舒聲,絹囀倦掾戀眷釧卷變,合細,uan,
196,74,34,4,34-4,217,5.17薛,山,仙,薛,入,合,3,仙合3促聲,絕悅劣爇雪輟,合細,uat,
197,78,35,1,35-1,35,2.03蕭,效,蕭,蕭,平,開,4,蕭開4舒聲,彫聊堯么幺蕭,開細,iau,
198,78,35,2,35-2,96,3.29篠,效,蕭,篠,上,開,4,蕭開4舒聲,鳥了皎皛,開細,iau,
199,78,35,3,35-3,157,4.34嘯,效,蕭,嘯,去,開,4,蕭開4舒聲,弔叫嘯,開細,iau,
201,79,36,1,36-1,36,2.04宵,效,宵,宵,平,開,3,宵開3舒聲,邀宵遙嬌消招霄囂焦昭瀌喬嚻,開細,iau,
202,79,36,2,36-2,97,3.30小,效,宵,小,上,開,3,宵開3舒聲,兆小夭沼矯少表,開細,iau,
203,79,36,3,36-3,158,4.35笑,效,宵,笑,去,開,3,宵開3舒聲,召肖照笑𥬇要廟妙,開細,iau,
205,119,37,1,37-1,37,2.05肴,效,肴,肴,平,開,2,肴開2舒聲,交嘲肴茅,開洪,au,
206,119,37,2,37-2,98,3.31巧,效,肴,巧,上,開,2,肴開2舒聲,絞巧飽爪,開洪,au,
207,119,37,3,37-3,159,4.36效,效,肴,效,去,開,2,肴開2舒聲,教敎稍孝皃,開洪,au,
209,86,38,1,38-1,38,2.06豪,效,豪,豪,平,開,1,豪開1舒聲,刀勞牢遭曹袍褒毛襃,開洪,o,
210,86,38,2,38-2,99,3.32晧,效,豪,晧,上,開,1,豪開1舒聲,老晧道浩早抱,開洪,o,
211,86,38,3,38-3,160,4.37号,效,豪,号,去,開,1,豪開1舒聲,到導耗報,開洪,o,
213,87,39,1,39-1,39,2.07歌,果,歌,歌,平,開,1,歌開1舒聲,俄何河歌,開洪,o,
214,87,39,2,39-2,100,3.33哿,果,歌,哿,上,開,1,歌開1舒聲,我可,開洪,o,
215,87,39,3,39-3,161,4.38箇,果,歌,箇,去,開,1,歌開1舒聲,賀佐箇邏个,開洪,o,
217,88,40,1,40-1,40,2.08戈,果,戈,戈,平,合,1,戈合1舒聲,禾戈和靴波婆𦚢𩩆𩨷,合洪,o,
218,88,40,2,40-2,101,3.34果,果,戈,果,上,合,1,戈合1舒聲,火果,合洪,o,
219,88,40,3,40-3,162,4.39過,果,戈,過,去,合,1,戈合1舒聲,臥卧唾過貨,合洪,o,
221,120,40,1,40-1,40,2.08戈,果,戈,戈,平,開,3,戈開3舒聲,迦伽,開細,ia,
222,120,40,2,40-2,101,3.34果,果,戈,果,上,開,3,戈開3舒聲,,開細,ia,
223,120,40,3,40-3,162,4.39過,果,戈,過,去,開,3,戈開3舒聲,,開細,ia,
225,121,40,1,40-1,40,2.08戈,果,戈,戈,平,合,3,戈合3舒聲,脞,合細,ia,
226,121,40,2,40-2,101,3.34果,果,戈,果,上,合,3,戈合3舒聲,,合細,ia,
227,121,40,3,40-3,162,4.39過,果,戈,過,去,合,3,戈合3舒聲,,合細,ia,
229,129,41,1,41-1,41,2.09麻,假,麻,麻,平,開,2,麻開2舒聲,霞加牙巴,開洪,a,
230,129,41,2,41-2,102,3.35馬,假,麻,馬,上,開,2,麻開2舒聲,下雅疋賈,開洪,a,
231,129,41,3,41-3,163,4.40禡,假,麻,禡,去,開,2,麻開2舒聲,駕亞訝嫁罵,開洪,a,
233,110,41,1,41-1,41,2.09麻,假,麻,麻,平,合,2,麻合2舒聲,花瓜華,合洪,ua,
234,110,41,2,41-2,102,3.35馬,假,麻,馬,上,合,2,麻合2舒聲,瓦寡,合洪,ua,
235,110,41,3,41-3,163,4.40禡,假,麻,禡,去,合,2,麻合2舒聲,化霸㕦,合洪,ua,
237,122,41,1,41-1,41,2.09麻,假,麻,麻,平,開,3,麻開3舒聲,遮嗟邪車奢賒,開細,ia,
238,122,41,2,41-2,102,3.35馬,假,麻,馬,上,開,3,麻開3舒聲,也者野冶姐,開細,ia,
239,122,41,3,41-3,163,4.40禡,假,麻,禡,去,開,3,麻開3舒聲,謝夜,開細,ia,
241,84,42,1,42-1,42,2.10陽,宕,陽,陽,平,開,3,陽開3舒聲,章羊張良陽莊方,開細,iong,
242,84,42,2,42-2,103,3.36養,宕,陽,養,上,開,3,陽開3舒聲,兩奬㢡養掌丈,開細,iong,
243,84,42,3,42-3,164,4.41漾,宕,陽,漾,去,開,3,陽開3舒聲,亮讓樣向,開細,iong,
244,85,42,4,42-4,225,5.18藥,宕,陽,藥,入,開,3,陽開3促聲,灼略若爵虐藥約雀勺,開細,iok,
245,32,42,1,42-1,42,2.10陽,宕,陽,陽,平,合,3,陽合3舒聲,王,合細,ong,
246,32,42,2,42-2,103,3.36養,宕,陽,養,上,合,3,陽合3舒聲,往网昉,合細,ong,
247,32,42,3,42-3,164,4.41漾,宕,陽,漾,去,合,3,陽合3舒聲,況放訪妄,合細,ong,
248,33,42,4,42-4,225,5.18藥,宕,陽,藥,入,合,3,陽合3促聲,钁縛籰,合細,ok,
249,34,43,1,43-1,43,2.11唐,宕,唐,唐,平,開,1,唐開1舒聲,郎當剛岡,開洪,ong,
250,34,43,2,43-2,104,3.37蕩,宕,唐,蕩,上,開,1,唐開1舒聲,朗黨,開洪,ong,
251,34,43,3,43-3,165,4.42宕,宕,唐,宕,去,開,1,唐開1舒聲,浪宕,開洪,ong,
252,35,43,4,43-4,226,5.19鐸,宕,唐,鐸,入,開,1,唐開1促聲,落各,開洪,ok,
253,34,43,1,43-1,43,2.11唐,宕,唐,唐,平,開,1,唐開1舒聲,光黃旁,合洪,ong,
254,34,43,2,43-2,104,3.37蕩,宕,唐,蕩,上,開,1,唐開1舒聲,廣晃,合洪,ong,
255,34,43,3,43-3,165,4.42宕,宕,唐,宕,去,開,1,唐開1舒聲,曠謗,合洪,ong,
256,35,43,4,43-4,226,5.19鐸,宕,唐,鐸,入,開,1,唐開1促聲,穫郭博,合洪,ok,
257,45,44,1,44-1,44,2.12庚,梗,庚,庚,平,開,2,庚開2舒聲,行庚盲,開洪,ing,
258,45,44,2,44-2,105,3.38梗,梗,庚,梗,上,開,2,庚開2舒聲,杏梗冷打猛丙,開洪,ing,
259,45,44,3,44-3,166,4.43映,梗,庚,映,去,開,2,庚開2舒聲,更孟,開洪,ing,
260,46,44,4,44-4,227,5.20陌,梗,庚,陌,入,開,2,庚開2促聲,格陌伯白,開洪,ik,
261,36,44,1,44-1,44,2.12庚,梗,庚,庚,平,合,2,庚合2舒聲,觥橫,合洪,ong,
262,36,44,2,44-2,105,3.38梗,梗,庚,梗,上,合,2,庚合2舒聲,礦,合洪,ong,
263,36,44,3,44-3,166,4.43映,梗,庚,映,去,合,2,庚合2舒聲,蝗,合洪,ong,
264,37,44,4,44-4,227,5.20陌,梗,庚,陌,入,合,2,庚合2促聲,虢,合洪,ok,
265,47,44,1,44-1,44,2.12庚,梗,庚,庚,平,開,3,庚開3舒聲,驚卿京,開細,ing,
266,47,44,2,44-2,105,3.38梗,梗,庚,梗,上,開,3,庚開3舒聲,景影,開細,ing,
267,47,44,3,44-3,166,4.43映,梗,庚,映,去,開,3,庚開3舒聲,慶敬,開細,ing,
268,48,44,4,44-4,227,5.20陌,梗,庚,陌,入,開,3,庚開3促聲,戟刻郤逆劇擭迹,開細,ik,
269,49,44,1,44-1,44,2.12庚,梗,庚,庚,平,合,3,庚合3舒聲,榮兵明,合細,ing,
270,49,44,2,44-2,105,3.38梗,梗,庚,梗,上,合,3,庚合3舒聲,永憬䁝,合細,ing,
271,49,44,3,44-3,166,4.43映,梗,庚,映,去,合,3,庚合3舒聲,命病,合細,ing,
272,50,44,4,44-4,227,5.20陌,梗,庚,陌,入,合,3,庚合3促聲,,合細,ik,
273,51,45,1,45-1,45,2.13耕,梗,耕,耕,平,開,2,耕開2舒聲,莖耕,開洪,ing,
274,51,45,2,45-2,106,3.39耿,梗,耕,耿,上,開,2,耕開2舒聲,幸耿,開洪,ing,
275,51,45,3,45-3,167,4.44諍,梗,耕,諍,去,開,2,耕開2舒聲,諍爭迸,開洪,ing,
276,52,45,4,45-4,228,5.21麥,梗,耕,麥,入,開,2,耕開2促聲,核革責摘厄戹,開洪,ik,
277,38,45,1,45-1,45,2.13耕,梗,耕,耕,平,合,2,耕合2舒聲,宏轟萌,合洪,ong,
278,38,45,2,45-2,106,3.39耿,梗,耕,耿,上,合,2,耕合2舒聲,,合洪,ong,
279,38,45,3,45-3,167,4.44諍,梗,耕,諍,去,合,2,耕合2舒聲,,合洪,ong,
280,39,45,4,45-4,228,5.21麥,梗,耕,麥,入,合,2,耕合2促聲,獲摑麥,合洪,ok,
281,53,46,1,46-1,46,2.14清,梗,清,清,平,開,3,清開3舒聲,情盈貞成征井并,開細,ing,
282,53,46,2,46-2,107,3.40靜,梗,清,靜,上,開,3,清開3舒聲,靜郢井整,開細,ing,
283,53,46,3,46-3,168,4.45勁,梗,清,勁,去,開,3,清開3舒聲,政姓鄭正盛令,開細,ing,
284,54,46,4,46-4,229,5.22昔,梗,清,昔,入,開,3,清開3促聲,積炙易石辟隻亦益昔,開細,ik,
285,55,46,1,46-1,46,2.14清,梗,清,清,平,合,3,清合3舒聲,營傾,合細,ing,
286,55,46,2,46-2,107,3.40靜,梗,清,靜,上,合,3,清合3舒聲,潁頃,合細,ing,
287,55,46,3,46-3,168,4.45勁,梗,清,勁,去,合,3,清合3舒聲,,合細,ing,
288,56,46,4,46-4,229,5.22昔,梗,清,昔,入,合,3,清合3促聲,役,合細,ik,
289,57,47,1,47-1,47,2.15青,梗,青,青,平,開,4,青開4舒聲,經靈刑丁,開細,ing,
290,57,47,2,47-2,108,3.41迥,梗,青,迥,上,開,4,青開4舒聲,挺鼎涬頂醒剄,開細,ing,
291,57,47,3,47-3,169,4.46徑,梗,青,徑,去,開,4,青開4舒聲,定佞徑,開細,ing,
292,58,47,4,47-4,230,5.23錫,梗,青,錫,入,開,4,青開4促聲,歷擊淚狄激,開細,ik,
293,59,47,1,47-1,47,2.15青,梗,青,青,平,合,3,青合3舒聲,螢扃,合細,ing,
294,59,47,2,47-2,108,3.41迥,梗,青,迥,上,合,3,青合3舒聲,迥熲,合細,ing,
295,59,47,3,47-3,169,4.46徑,梗,青,徑,去,合,3,青合3舒聲,,合細,ing,
296,60,47,4,47-4,230,5.23錫,梗,青,錫,入,合,3,青合3促聲,闃鶪狊,合細,ik,
297,61,48,1,48-1,48,2.16蒸,曾,蒸,蒸,平,開,3,蒸開3舒聲,仍陵蒸矜兢膺乘冰乗升,開細,ing,
298,61,48,2,48-2,109,3.42拯,曾,蒸,拯,上,開,3,蒸開3舒聲,拯庱,開細,ing,
299,61,48,3,48-3,170,4.47證,曾,蒸,證,去,開,3,蒸開3舒聲,應證孕甑𩜁,開細,ing,
300,62,48,4,48-4,231,5.24職,曾,蒸,職,入,開,3,蒸開3促聲,翼力側職直即極逼,開細,ik,
301,63,49,1,49-1,49,2.17登,曾,登,登,平,開,1,登開1舒聲,滕增恆恒登棱崩朋,開洪,ing,
302,63,49,2,49-2,110,3.43等,曾,登,等,上,開,1,登開1舒聲,肯等,開洪,ing,
303,63,49,3,49-3,171,4.48嶝,曾,登,嶝,去,開,1,登開1舒聲,鄧贈亘亙隥,開洪,ing,
304,64,49,4,49-4,232,5.25德,曾,登,德,入,開,1,登開1促聲,則德得黑勒墨北,開洪,ik,
305,40,49,1,49-1,49,2.17登,曾,登,登,平,合,1,登合1舒聲,弘肱,合洪,ong,
306,40,49,2,49-2,110,3.43等,曾,登,等,上,合,1,登合1舒聲,或國,合洪,ong,
307,40,49,3,49-3,171,4.48嶝,曾,登,嶝,去,合,1,登合1舒聲,,合洪,ong,
308,41,49,4,49-4,232,5.25德,曾,登,德,入,合,1,登合1促聲,,合洪,ok,
309,135,50,1,50-1,50,2.18尤,流,尤,尤,平,開,3,尤開3舒聲,求周秋流由尤鳩州謀浮羞,開細,iu,
310,135,50,2,50-2,111,3.44有,流,尤,有,上,開,3,尤開3舒聲,九久酉柳有婦否,開細,iu,
311,135,50,3,50-3,172,4.49宥,流,尤,宥,去,開,3,尤開3舒聲,就僦咒呪又祐救溜富副,開細,iu,
313,138,51,1,51-1,51,2.19侯,流,侯,侯,平,開,3,侯開3舒聲,鉤侯婁,開細,io,
314,138,51,2,51-2,112,3.45厚,流,侯,厚,上,開,3,侯開3舒聲,口后斗垢苟厚,開細,io,
315,138,51,3,51-3,173,4.50候,流,侯,候,去,開,3,侯開3舒聲,溝遘豆候奏漏,開細,io,
317,136,52,1,52-1,52,2.20幽,流,幽,幽,平,開,3,幽開3舒聲,虯烋幽彪,開細,iu,
318,136,52,2,52-2,113,3.46黝,流,幽,黝,上,開,3,幽開3舒聲,糾黝,開細,iu,
319,136,52,3,52-3,174,4.51幼,流,幽,幼,去,開,3,幽開3舒聲,幼謬,開細,iu,
321,17,53,1,53-1,53,2.21侵,深,侵,侵,平,開,3,侵開3舒聲,林深針淫金心今吟簪尋,開細,im,
322,17,53,2,53-2,114,3.47寑,深,侵,寑,上,開,3,侵開3舒聲,稔甚荏錦朕飲枕凜㾕,開細,im,
323,17,53,3,53-3,175,4.52沁,深,侵,沁,去,開,3,侵開3舒聲,鴆禁任蔭譖,開細,im,
324,18,53,4,53-4,236,5.26緝,深,侵,緝,入,開,3,侵開3促聲,入立急汲執戢及汁,開細,ip,
325,100,54,1,54-1,54,2.22覃,咸,覃,覃,平,開,1,覃開1舒聲,含南男,開洪,am,
326,100,54,2,54-2,115,3.48感,咸,覃,感,上,開,1,覃開1舒聲,感禫唵,開洪,am,
327,100,54,3,54-3,176,4.53勘,咸,覃,勘,去,開,1,覃開1舒聲,紺暗,開洪,am,
328,101,54,4,54-4,237,5.27合,咸,覃,合,入,開,1,覃開1促聲,荅答合閤沓,開洪,ap,
329,102,55,1,55-1,55,2.23談,咸,談,談,平,開,1,談開1舒聲,甘三酣談,開洪,am,
330,102,55,2,55-2,116,3.49敢,咸,談,敢,上,開,1,談開1舒聲,敢覽,開洪,am,
331,102,55,3,55-3,177,4.54闞,咸,談,闞,去,開,1,談開1舒聲,濫瞰𣊟蹔暫,開洪,am,
332,103,55,4,55-4,238,5.28盍,咸,談,盍,入,開,1,談開1促聲,盍榼臘雜,開洪,ap,
333,113,56,1,56-1,56,2.24鹽,咸,鹽,鹽,平,開,4,鹽開4舒聲,廉鹽炎淹占,開細,iam,
334,113,56,2,56-2,117,3.50琰,咸,鹽,琰,上,開,4,鹽開4舒聲,冉染琰歛斂漸險儉檢奄,開細,iam,
335,113,56,3,56-3,178,4.55豔,咸,鹽,豔,去,開,4,鹽開4舒聲,贍豔驗窆,開細,iam,
336,114,56,4,56-4,239,5.29葉,咸,鹽,葉,入,開,4,鹽開4促聲,涉攝葉接輒,開細,iap,
337,115,57,1,57-1,57,2.25添,咸,添,添,平,開,3,添開3舒聲,兼甜,開細,iam,
338,115,57,2,57-2,118,3.51忝,咸,添,忝,上,開,3,添開3舒聲,點忝簟玷,開細,iam,
339,115,57,3,57-3,179,4.56㮇,咸,添,㮇,去,開,3,添開3舒聲,念店,開細,iam,
340,116,57,4,57-4,240,5.30怗,咸,添,怗,入,開,3,添開3促聲,協愜牒頰,開細,iap,
341,104,58,1,58-1,58,2.26咸,咸,咸,咸,平,開,2,咸開2舒聲,䜛讒咸,開洪,am,
342,104,58,2,58-2,119,3.52豏,咸,咸,豏,上,開,2,咸開2舒聲,減斬豏,開洪,am,
343,104,58,3,58-3,180,4.58陷,咸,咸,陷,去,開,2,咸開2舒聲,陷韽賺,開洪,am,
344,105,58,4,58-4,241,5.31洽,咸,咸,洽,入,開,2,咸開2促聲,夾洽㘝,開洪,ap,
345,106,59,1,59-1,59,2.27銜,咸,銜,銜,平,開,2,銜開2舒聲,監銜,開洪,am,
346,106,59,2,59-2,120,3.53檻,咸,銜,檻,上,開,2,銜開2舒聲,檻黤,開洪,am,
347,106,59,3,59-3,181,4.59鑑,咸,銜,鑑,去,開,2,銜開2舒聲,懺鑑鑒,開洪,am,
348,107,59,4,59-4,242,5.32狎,咸,銜,狎,入,開,2,銜開2促聲,甲狎,開洪,ap,
349,117,60,1,60-1,60,2.28嚴,咸,嚴,嚴,平,開,3,嚴開3舒聲,嚴𩏩,開細,iam,
350,117,60,2,60-2,121,3.54儼,咸,嚴,儼,上,開,3,嚴開3舒聲,掩广,開細,iam,
351,117,60,3,60-3,182,4.57釅,咸,嚴,釅,去,開,3,嚴開3舒聲,欠劍劒釅,開細,iam,
352,118,60,4,60-4,243,5.33業,咸,嚴,業,入,開,3,嚴開3促聲,怯業劫,開細,iap,
353,75,61,1,61-1,61,2.29凡,咸,凡,凡,平,合,3,凡合3舒聲,凡,合細,uan,
354,75,61,2,61-2,122,3.55梵,咸,凡,梵,上,合,3,凡合3舒聲,犯范鋄錽,合細,uan,
355,75,61,3,61-3,183,4.55范,咸,凡,范,去,合,3,凡合3舒聲,梵泛,合細,uan,
356,76,61,4,61-4,244,5.34乏,咸,凡,乏,入,合,3,凡合3促聲,去乏法,合細,uat,
