識別號,廣韻韻母,韻母拼音碼,雅俗通韻母,舒促聲,國際音標
1,東一,ong,公,舒聲,ɔŋ
2,東三,iong,恭,舒聲,iɔŋ
3,屋一,ok,公,促聲,ɔk̚
4,屋三,iok,恭,促聲,iɔk̚
5,冬,ong,公,舒聲,ɔŋ
6,沃,ok,公,促聲,ɔk̚
7,鍾,iong,恭,舒聲,iɔŋ
8,燭,iok,恭,促聲,iɔk̚
9,江,ang,江,舒聲,aŋ
10,覺,ak,江,促聲,ak̚
11,支開,i,居,舒聲,i
12,支合,ui,規,舒聲,ui
13,支開,i,居,舒聲,i
14,支合,ui,規,舒聲,ui
15,支合,ui,規,舒聲,ui
16,支開,i,居,舒聲,i
17,脂開,i,居,舒聲,i
18,脂合,ui,規,舒聲,ui
19,脂開,i,居,舒聲,i
20,脂合,ui,規,舒聲,ui
21,脂開,i,居,舒聲,i
22,脂合,ui,規,舒聲,ui
23,之,i,居,舒聲,i
24,微開,i,居,舒聲,i
25,微合,ui,規,舒聲,ui
26,魚,u,艍,舒聲,u
27,虞,u,艍,舒聲,u
28,模,oo,沽,舒聲,ɔu
29,齊開,e,伽,舒聲,e
30,齊合,ue,檜,舒聲,ue
31,祭開,e,伽,舒聲,e
32,祭合,ue,檜,舒聲,ue
33,祭開,e,伽,舒聲,e
34,祭合,ue,檜,舒聲,ue
35,祭開,ue,檜,舒聲,ue
36,祭合,ue,檜,舒聲,ue
37,泰開,ai,皆,舒聲,ai
38,泰合,ua,瓜,舒聲,ua
39,佳開,ai,皆,舒聲,ai
40,佳合,ua,瓜,舒聲,ua
41,皆開,ai,皆,舒聲,ai
42,皆合,uai,乖,舒聲,uai
43,夬開,ai,皆,舒聲,ai
44,夬合,uai,乖,舒聲,uai
45,灰,ue,檜,舒聲,ue
46,咍,ai,皆,舒聲,ai
47,廢開,ue,檜,舒聲,ue
48,廢合,ue,檜,舒聲,ue
49,眞開,in,巾,舒聲,in
50,眞開,in,巾,舒聲,in
51,眞開,in,巾,舒聲,in
52,質開,in,巾,舒聲,in
53,質開,in,巾,舒聲,in
54,質開,it,巾,促聲,it̚
55,眞開,in,巾,舒聲,in
56,眞開,in,巾,舒聲,in
57,眞合,in,巾,舒聲,in
58,質開,in,巾,舒聲,in
59,質開,it,巾,促聲,it̚
60,質合,it,巾,促聲,it̚
61,諄,un,君,舒聲,un
62,諄,un,君,舒聲,un
63,諄,un,君,舒聲,un
64,術,ut,君,促聲,ut̚
65,術,ut,君,促聲,ut̚
66,術,ut,君,促聲,ut̚
67,臻,in,巾,舒聲,in
68,櫛,it,巾,促聲,it̚
69,文,un,君,舒聲,un
70,物,ut,君,促聲,ut̚
71,欣,in,巾,舒聲,in
72,迄,it,巾,促聲,it̚
73,元開,ian,堅,舒聲,ian
74,元合,uan,觀,舒聲,uan
75,月開,iat,堅,促聲,iat̚
76,月合,uat,觀,促聲,uat̚
77,魂,un,君,舒聲,un
78,沒,ut,君,促聲,ut̚
79,痕,in,巾,舒聲,in
80,沒,it,巾,促聲,it̚
81,寒,an,干,舒聲,an
82,曷,at,干,促聲,at̚
83,桓,uan,觀,舒聲,uan
84,末,uat,觀,促聲,uat̚
85,刪開,an,干,舒聲,an
86,刪合,uan,觀,舒聲,uan
87,鎋開,at,干,促聲,at̚
88,鎋合,uat,觀,促聲,uat̚
89,山開,an,干,舒聲,an
90,山合,uan,觀,舒聲,uan
91,黠開,at,干,促聲,at̚
92,黠合,uat,觀,促聲,uat̚
93,先開,ian,堅,舒聲,ian
94,先合,uan,觀,舒聲,uan
95,屑開,iat,堅,促聲,iat̚
96,屑合,uat,觀,促聲,uat̚
97,仙三開,ian,堅,舒聲,ian
98,仙一開,ian,堅,舒聲,ian
99,仙開,ian,堅,舒聲,ian
100,仙合,uan,觀,舒聲,uan
101,薛三開,iat,堅,促聲,iat̚
102,薛三開,iat,堅,促聲,iat̚
103,薛開,iat,堅,促聲,iat̚
104,薛合,uat,觀,促聲,uat̚
105,仙三合,uan,觀,舒聲,uan
106,仙三合,uan,觀,舒聲,uan
107,仙開,ian,堅,舒聲,ian
108,仙合,uan,觀,舒聲,uan
109,薛三合,uat,觀,促聲,uat̚
110,薛三合,uat,觀,促聲,uat̚
111,薛開,iat,堅,促聲,iat̚
112,薛合,uat,觀,促聲,uat̚
113,蕭,iau,嬌,舒聲,iau
114,宵,iau,嬌,舒聲,iau
115,宵,iau,嬌,舒聲,iau
116,宵,iau,嬌,舒聲,iau
117,肴,au,交,舒聲,au
118,豪,o,高,舒聲,ə
119,歌,o,高,舒聲,ə
120,戈一合,o,高,舒聲,ə
121,戈三開,ia,迦,舒聲,ia
122,戈三合,ia,迦,舒聲,ia
123,麻二開,a,膠,舒聲,a
124,麻二合,ua,瓜,舒聲,ua
125,麻三開,ia,迦,舒聲,ia
126,陽開,iong,恭,舒聲,iɔŋ
127,陽合,ong,公,舒聲,ɔŋ
128,藥開,iok,恭,促聲,iɔk̚
129,藥合,iok,恭,促聲,iɔk̚
130,唐開,ong,公,舒聲,ɔŋ
131,唐合,ong,公,舒聲,ɔŋ
132,鐸開,ok,公,促聲,ɔk̚
133,鐸合,ok,公,促聲,ɔk̚
134,庚二開,ing,經,舒聲,iŋ
135,陌二開,ik,經,促聲,ik̚
136,耕開,ing,經,舒聲,iŋ
137,耕合,ong,公,舒聲,ɔŋ
138,麥開,ik,經,促聲,ik̚
139,麥合,ok,公,促聲,ɔk̚
140,清開,ing,經,舒聲,iŋ
141,清開,ing,經,舒聲,iŋ
142,清開,ing,經,舒聲,iŋ
143,清合,ing,經,舒聲,iŋ
144,昔開,ik,經,促聲,ik̚
145,昔開,ik,經,促聲,ik̚
146,昔開,ik,經,促聲,ik̚
147,昔合,ik,經,促聲,ik̚
148,青開,ing,經,舒聲,iŋ
149,青合,ing,經,舒聲,iŋ
150,錫開,ik,經,促聲,ik̚
151,錫合,ik,經,促聲,ik̚
152,蒸開,ing,經,舒聲,iŋ
153,職開,ik,經,促聲,ik̚
154,登開,ing,經,舒聲,iŋ
155,登合,ong,公,舒聲,ɔŋ
156,德開,ik,經,促聲,ik̚
157,德合,ok,公,促聲,ɔk̚
158,尤,iu,丩,舒聲,iu
159,侯,io,茄,舒聲,iə
160,幽,iu,丩,舒聲,iu
161,侵,im,金,舒聲,im
162,緝,ip,金,促聲,ip̚
163,侵,im,金,舒聲,im
164,緝,ip,金,促聲,ip̚
165,侵,im,金,舒聲,im
166,緝,ip,金,促聲,ip̚
167,覃,am,甘,舒聲,am
168,合,ap,甘,促聲,ap̚
169,談,am,甘,舒聲,am
170,盍,ap,甘,促聲,ap̚
171,鹽,iam,兼,舒聲,iam
172,葉,iap,兼,促聲,iap̚
173,鹽,iam,兼,舒聲,iam
174,葉,iap,兼,促聲,iap̚
175,鹽,iam,兼,舒聲,iam
176,葉,iap,兼,促聲,iap̚
177,添,iam,兼,舒聲,iam
178,怗,iap,兼,促聲,iap̚
179,咸,am,甘,舒聲,am
180,洽,ap,甘,促聲,ap̚
181,銜,am,甘,舒聲,am
182,狎,ap,甘,促聲,ap̚
183,嚴,iam,兼,舒聲,iam
184,業,iap,兼,促聲,iap̚
185,凡,uan,觀,舒聲,uan
186,乏,uat,觀,促聲,uat̚
